Index,Name,Ranking,Overview,School Type,Year Founded,Religious Affiliation,Academic Calendar,Setting,2019 Endowment,School Website
27,Smith College,15,"Smith College is a private institution that was founded in 1871. It has a total undergraduate enrollment of 2,531, its setting is suburban, and the campus size is 147 acres. It utilizes a semester-based academic calendar. Smith College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #15. Its tuition and fees are $56,114.","Private, Women's college",1871.0,None,Semester,Suburban,1900000000.0,
28,United States Military Academy,15,"United States Military Academy is a public institution that was founded in 1802. It has a total undergraduate enrollment of 4,457, its setting is suburban, and the campus size is 16,080 acres. It utilizes a semester-based academic calendar. United States Military Academy's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #15. Its in-state tuition and fees are N; out-of-state tuition and fees are N.","Public, Coed",1802.0,None,Semester,Suburban,28500000.0,
29,Colgate University,20,"Colgate University is a private institution that was founded in 1819. It has a total undergraduate enrollment of 2,980, its setting is rural, and the campus size is 553 acres. It utilizes a semester-based academic calendar. Colgate University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #20. Its tuition and fees are $60,015.","Private, Coed",1819.0,None,Semester,Rural,934400000.0,
30,Wofford College,69,"Wofford College is a private institution that was founded in 1854. It has a total undergraduate enrollment of 1,667, its setting is urban, and the campus size is 170 acres. It utilizes a 4-1-4-based academic calendar. Wofford College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #69. Its tuition and fees are $47,650.","Private, Coed",1854.0,United Methodist,4-1-4,Urban,211700000.0,
31,Hobart and William Smith Colleges,72,"Hobart and William Smith Colleges is a private institution that was founded in 1822. It has a total undergraduate enrollment of 2,061, its setting is city, and the campus size is 170 acres. It utilizes a semester-based academic calendar. Hobart and William Smith Colleges's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #72. Its tuition and fees are $58,630.","Private, Coed",1822.0,None,Semester,City,226100000.0,
32,Knox College,72,"Knox College is a private institution that was founded in 1837. It has a total undergraduate enrollment of 1,258, its setting is city, and the campus size is 82 acres. It utilizes a quarter-based academic calendar. Knox College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #72. Its tuition and fees are $49,974.","Private, Coed",1837.0,None,Quarter,City,170200000.0,
33,Muhlenberg College,72,"Muhlenberg College is a private institution that was founded in 1848. It has a total undergraduate enrollment of 2,251, its setting is suburban, and the campus size is 75 acres. It utilizes a semester-based academic calendar. Muhlenberg College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #72. Its tuition and fees are $56,665.","Private, Coed",1848.0,Lutheran Church in America,Semester,Suburban,289000000.0,
34,Willamette University,72,"Willamette University is a private institution that was founded in 1842. It has a total undergraduate enrollment of 1,515, its setting is city, and the campus size is 61 acres. It utilizes a semester-based academic calendar. Willamette University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #72. Its tuition and fees are $53,624.","Private, Coed",1842.0,United Methodist,Semester,City,258100000.00000003,
35,Bennington College,76,"Bennington College is a private institution that was founded in 1932. It has a total undergraduate enrollment of 733, its setting is rural, and the campus size is 440 acres. It utilizes a semester-based academic calendar. Bennington College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #76. Its tuition and fees are $58,124.","Private, Coed",1932.0,None,Semester,Rural,40600000.0,
36,Cornell College,76,"Cornell College is a private institution that was founded in 1853. It has a total undergraduate enrollment of 1,020, its setting is rural, and the campus size is 129 acres. It utilizes a 8 terms-based academic calendar. Cornell College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #76. Its tuition and fees are $45,914.","Private, Coed",1853.0,United Methodist,8 Terms,Rural,76300000.0,
37,Lewis & Clark College,76,"Lewis & Clark College is a private institution that was founded in 1867. It has a total undergraduate enrollment of 1,965, its setting is city, and the campus size is 134 acres. It utilizes a semester-based academic calendar. Lewis & Clark College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #76. Its tuition and fees are $55,266.","Private, Coed",1867.0,None,Semester,City,236600000.0,
38,St. John's College (NM),76,"St. John's College (NM) is a private institution that was founded in 1696. It has a total undergraduate enrollment of 317, its setting is city, and the campus size is 250 acres. It utilizes a semester-based academic calendar. St. John's College (NM)'s ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #76. Its tuition and fees are $36,410.","Private, Coed",1696.0,None,Semester,City,84400000.0,
39,Allegheny College,80,"Allegheny College is a private institution that was founded in 1815. It has a total undergraduate enrollment of 1,775, its setting is suburban, and the campus size is 566 acres. It utilizes a semester-based academic calendar. Allegheny College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #80. Its tuition and fees are $50,980.","Private, Coed",1815.0,United Methodist,Semester,Suburban,230500000.0,
40,Simpson College,149,"Simpson College is a private institution that was founded in 1860. It has a total undergraduate enrollment of 1,305, its setting is suburban, and the campus size is 85 acres. It utilizes a 4-4-1-based academic calendar. Simpson College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #149. Its tuition and fees are $42,246.","Private, Coed",1860.0,United Methodist,4-4-1,Suburban,,
41,Wesleyan College,149,"Wesleyan College is a private institution that was founded in 1836. It has a total undergraduate enrollment of 754, its setting is suburban, and the campus size is 200 acres. It utilizes a semester-based academic calendar. Wesleyan College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #149. Its tuition and fees are $25,190.","Private, Women's college",1836.0,United Methodist,Semester,Suburban,56500000.0,
42,Wittenberg University,153,"Wittenberg University is a private institution that was founded in 1845. It has a total undergraduate enrollment of 1,577, its setting is city, and the campus size is 114 acres. It utilizes a semester-based academic calendar. Wittenberg University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #153. Its tuition and fees are $41,476.","Private, Coed",1845.0,Evangelical Lutheran Church,Semester,City,119200000.0,
