Index,Name,Ranking,Overview,School Type,Year Founded,Religious Affiliation,Academic Calendar,Setting,2019 Endowment,School Website
11,Linfield University,#120,"Linfield University is a private institution that was founded in 1858. It has a total undergraduate enrollment of 1,414, its setting is rural, and the campus size is 189 acres. It utilizes a 4-1-4-based academic calendar. Linfield University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #120. Its tuition and fees are $45,062.","Private, Coed",1858, American Baptist,4-1-4,Rural,$109.1 million +,
12,Lycoming College,#120,"Lycoming College is a private institution that was founded in 1812. It has a total undergraduate enrollment of 1,140, its setting is city, and the campus size is 40 acres. It utilizes a semester-based academic calendar. Lycoming College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #120. Its tuition and fees are $42,714.","Private, Coed",1812,United Methodist,Semester,City,$201.5 million +,
13,Ripon College,#120,"Ripon College is a private institution that was founded in 1851. It has a total undergraduate enrollment of 787, its setting is city, and the campus size is 250 acres. It utilizes a semester-based academic calendar. Ripon College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #120. Its tuition and fees are $47,123.","Private, Coed",1851,None,Semester,City,$94.3 million +,
14,Saint Michael's College,#120,"Saint Michael's College is a private institution that was founded in 1904. It has a total undergraduate enrollment of 1,585, its setting is suburban, and the campus size is 440 acres. It utilizes a semester-based academic calendar. Saint Michael's College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #120. Its tuition and fees are $48,175.","Private, Coed",1904,Roman Catholic,Semester,Suburban,$89.1 million,
15,Westminster College (PA),#120,"Westminster College (PA) is a private institution that was founded in 1852. It has a total undergraduate enrollment of 1,165, its setting is rural, and the campus size is 350 acres. It utilizes a semester-based academic calendar. Westminster College (PA)'s ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #120. Its tuition and fees are $37,675.","Private, Coed",1852,Presbyterian Church (USA),Semester,Rural,$117.0 million +,
16,Houghton College,#127,"Houghton College is a private institution that was founded in 1883. It has a total undergraduate enrollment of 946, its setting is rural, and the campus size is 1,300 acres. It utilizes a semester-based academic calendar. Houghton College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #127. Its tuition and fees are $34,466.","Private, Coed",1883,Wesleyan,Semester,Rural,$54.4 million +,
17,Monmouth College,#127,"Monmouth College is a private institution that was founded in 1853. It has a total undergraduate enrollment of 907, its setting is rural, and the campus size is 112 acres. It utilizes a semester-based academic calendar. Monmouth College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #127. Its tuition and fees are $41,330.","Private, Coed",1853,None,Semester,Rural,$122.6 million +,
18,Presbyterian College,#127,"Presbyterian College is a private institution that was founded in 1880. It has a total undergraduate enrollment of 1,102, its setting is rural, and the campus size is 240 acres. It utilizes a semester-based academic calendar. Presbyterian College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #127. Its tuition and fees are $40,260.","Private, Coed",1880,Presbyterian Church (USA),Semester,Rural,$91.5 million +,
19,Albion College,#130,"Albion College is a private institution that was founded in 1835. It has a total undergraduate enrollment of 1,475, its setting is suburban, and the campus size is 574 acres. It utilizes a semester-based academic calendar. Albion College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #130. Its tuition and fees are $50,590.","Private, Coed",1835,United Methodist,Semester,Suburban,$170.1 million +,
20,Middlebury College,#9,"Middlebury College is a private institution that was founded in 1800. It has a total undergraduate enrollment of 2,580, its setting is rural, and the campus size is 350 acres. It utilizes a 4-1-4-based academic calendar. Middlebury College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #9. Its tuition and fees are $58,316.","Private, Coed",1800,None,4-1-4,Rural,$1.2 billion,
21,Washington and Lee University,#9,"Washington and Lee University is a private institution that was founded in 1749. It has a total undergraduate enrollment of 1,860, its setting is city, and the campus size is 430 acres. It utilizes a 4-4-1-based academic calendar. Washington and Lee University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #9. Its tuition and fees are $57,285.","Private, Coed",1749,None,4-4-1,City,$1.7 billion,
22,Grinnell College,#13,"Grinnell College is a private institution that was founded in 1846. It has a total undergraduate enrollment of 1,733, its setting is rural, and the campus size is 120 acres. It utilizes a semester-based academic calendar. Grinnell College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #13. Its tuition and fees are $56,680.","Private, Coed",1846,None,Semester,Rural,$2.1 billion,
23,Vassar College,#13,"Vassar College is a private institution that was founded in 1861. It has a total undergraduate enrollment of 2,441, its setting is suburban, and the campus size is 1,000 acres. It utilizes a semester-based academic calendar. Vassar College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #13. Its tuition and fees are $60,930.","Private, Coed",1861,None,Semester,Suburban,$1.1 billion +,
24,Colby College,#15,"Colby College is a private institution that was founded in 1813. It has a total undergraduate enrollment of 2,003, its setting is rural, and the campus size is 714 acres. It utilizes a 4-1-4-based academic calendar. Colby College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #15. Its tuition and fees are $59,430.","Private, Coed",1813,None,4-1-4,Rural,$869.9 million +,
25,Davidson College,#15,"Davidson College is a private institution that was founded in 1837. It has a total undergraduate enrollment of 1,837, its setting is suburban, and the campus size is 665 acres. It utilizes a semester-based academic calendar. Davidson College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #15. Its tuition and fees are $55,060.","Private, Coed",1837,Presbyterian Church (USA),Semester,Suburban,$881.5 million,
26,Haverford College,#15,"Haverford College is a private institution that was founded in 1833. It has a total undergraduate enrollment of 1,317, its setting is suburban, and the campus size is 200 acres. It utilizes a semester-based academic calendar. Haverford College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #15. Its tuition and fees are $58,900.","Private, Coed",1833,None,Semester,Suburban,$526.9 million,
27,Smith College,#15,"Smith College is a private institution that was founded in 1871. It has a total undergraduate enrollment of 2,531, its setting is suburban, and the campus size is 147 acres. It utilizes a semester-based academic calendar. Smith College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #15. Its tuition and fees are $56,114.","Private, Women's college",1871,None,Semester,Suburban,$1.9 billion +,
28,United States Military Academy,#15,"United States Military Academy is a public institution that was founded in 1802. It has a total undergraduate enrollment of 4,457, its setting is suburban, and the campus size is 16,080 acres. It utilizes a semester-based academic calendar. United States Military Academy's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #15. Its in-state tuition and fees are N; out-of-state tuition and fees are N.","Public, Coed",1802,None,Semester,Suburban,$28.5 million +,
29,Colgate University,#20,"Colgate University is a private institution that was founded in 1819. It has a total undergraduate enrollment of 2,980, its setting is rural, and the campus size is 553 acres. It utilizes a semester-based academic calendar. Colgate University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #20. Its tuition and fees are $60,015.","Private, Coed",1819,None,Semester,Rural,$934.4 million +,
30,Wofford College,#69,"Wofford College is a private institution that was founded in 1854. It has a total undergraduate enrollment of 1,667, its setting is urban, and the campus size is 170 acres. It utilizes a 4-1-4-based academic calendar. Wofford College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #69. Its tuition and fees are $47,650.","Private, Coed",1854,United Methodist,4-1-4,Urban,$211.7 million,
31,Hobart and William Smith Colleges,#72,"Hobart and William Smith Colleges is a private institution that was founded in 1822. It has a total undergraduate enrollment of 2,061, its setting is city, and the campus size is 170 acres. It utilizes a semester-based academic calendar. Hobart and William Smith Colleges's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #72. Its tuition and fees are $58,630.","Private, Coed",1822,None,Semester,City,$226.1 million,
32,Knox College,#72,"Knox College is a private institution that was founded in 1837. It has a total undergraduate enrollment of 1,258, its setting is city, and the campus size is 82 acres. It utilizes a quarter-based academic calendar. Knox College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #72. Its tuition and fees are $49,974.","Private, Coed",1837,None,Quarter,City,$170.2 million,
33,Muhlenberg College,#72,"Muhlenberg College is a private institution that was founded in 1848. It has a total undergraduate enrollment of 2,251, its setting is suburban, and the campus size is 75 acres. It utilizes a semester-based academic calendar. Muhlenberg College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #72. Its tuition and fees are $56,665.","Private, Coed",1848,Lutheran Church in America,Semester,Suburban,$289.0 million,
34,Willamette University,#72,"Willamette University is a private institution that was founded in 1842. It has a total undergraduate enrollment of 1,515, its setting is city, and the campus size is 61 acres. It utilizes a semester-based academic calendar. Willamette University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #72. Its tuition and fees are $53,624.","Private, Coed",1842,United Methodist,Semester,City,$258.1 million +,
35,Bennington College,#76,"Bennington College is a private institution that was founded in 1932. It has a total undergraduate enrollment of 733, its setting is rural, and the campus size is 440 acres. It utilizes a semester-based academic calendar. Bennington College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #76. Its tuition and fees are $58,124.","Private, Coed",1932,None,Semester,Rural,$40.6 million,
36,Cornell College,#76,"Cornell College is a private institution that was founded in 1853. It has a total undergraduate enrollment of 1,020, its setting is rural, and the campus size is 129 acres. It utilizes a 8 terms-based academic calendar. Cornell College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #76. Its tuition and fees are $45,914.","Private, Coed",1853,United Methodist,8 Terms,Rural,$76.3 million,
37,Lewis & Clark College,#76,"Lewis & Clark College is a private institution that was founded in 1867. It has a total undergraduate enrollment of 1,965, its setting is city, and the campus size is 134 acres. It utilizes a semester-based academic calendar. Lewis & Clark College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #76. Its tuition and fees are $55,266.","Private, Coed",1867,None,Semester,City,$236.6 million +,
38,St. John's College (NM),#76,"St. John's College (NM) is a private institution that was founded in 1696. It has a total undergraduate enrollment of 317, its setting is city, and the campus size is 250 acres. It utilizes a semester-based academic calendar. St. John's College (NM)'s ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #76. Its tuition and fees are $36,410.","Private, Coed",1696,None,Semester,City,$84.4 million,
39,Allegheny College,#80,"Allegheny College is a private institution that was founded in 1815. It has a total undergraduate enrollment of 1,775, its setting is suburban, and the campus size is 566 acres. It utilizes a semester-based academic calendar. Allegheny College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #80. Its tuition and fees are $50,980.","Private, Coed",1815,United Methodist,Semester,Suburban,$230.5 million,
40,Simpson College,#149,"Simpson College is a private institution that was founded in 1860. It has a total undergraduate enrollment of 1,305, its setting is suburban, and the campus size is 85 acres. It utilizes a 4-4-1-based academic calendar. Simpson College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #149. Its tuition and fees are $42,246.","Private, Coed",1860,United Methodist,4-4-1,Suburban,N/A,
41,Wesleyan College,#149,"Wesleyan College is a private institution that was founded in 1836. It has a total undergraduate enrollment of 754, its setting is suburban, and the campus size is 200 acres. It utilizes a semester-based academic calendar. Wesleyan College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #149. Its tuition and fees are $25,190.","Private, Women's college",1836,United Methodist,Semester,Suburban,$56.5 million +,
42,Wittenberg University,#153,"Wittenberg University is a private institution that was founded in 1845. It has a total undergraduate enrollment of 1,577, its setting is city, and the campus size is 114 acres. It utilizes a semester-based academic calendar. Wittenberg University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #153. Its tuition and fees are $41,476.","Private, Coed",1845,Evangelical Lutheran Church,Semester,City,$119.2 million,
43,Emory and Henry College,#154,"Emory and Henry College is a private institution that was founded in 1836. It has a total undergraduate enrollment of 1,019, its setting is rural, and the campus size is 325 acres. It utilizes a semester-based academic calendar. Emory and Henry College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #154. Its tuition and fees are $35,100.","Private, Coed",1836,United Methodist,Semester,Rural,$90.7 million +,
44,Centenary College,#155,"Centenary College is a private institution that was founded in 1825. It has a total undergraduate enrollment of 549, its setting is city, and the campus size is 65 acres. It utilizes a semester-based academic calendar. Centenary College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #155. Its tuition and fees are $38,060.","Private, Coed",1825,United Methodist,Semester,City,$133.1 million +,
45,Gordon College,#155,"Gordon College is a private institution that was founded in 1889. It has a total undergraduate enrollment of 1,507, its setting is suburban, and the campus size is 485 acres. It utilizes a semester-based academic calendar. Gordon College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #155. Its tuition and fees are $39,230.","Private, Coed",1889,Other,Semester,Suburban,$73.9 million +,
46,Guilford College,#155,"Guilford College is a private institution that was founded in 1837. It has a total undergraduate enrollment of 1,525, its setting is suburban, and the campus size is 340 acres. It utilizes a semester-based academic calendar. Guilford College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #155. Its tuition and fees are $40,120.","Private, Coed",1837,Friends,Semester,Suburban,N/A,
47,Marlboro College,#155,"Marlboro College is a private institution that was founded in 1946. It has a Rural setting, and the campus size is 366 acres. It utilizes a semester-based academic calendar. Marlboro College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #155. Its tuition and fees are $27,485.","Private, Coed",1946,None,Semester,Rural,N/A,
48,Morehouse College,#155,"Morehouse College is a private institution that was founded in 1867. It has a total undergraduate enrollment of 2,238, its setting is urban, and the campus size is 66 acres. It utilizes a semester-based academic calendar. Morehouse College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #155. Its tuition and fees are $28,847.","Private, Men's college",1867,None,Semester,Urban,N/A,
49,Purchase College--SUNY,#155,"Purchase College—SUNY is a public institution that was founded in 1967. It has a total undergraduate enrollment of 4,081, and the setting is Suburban. It utilizes a semester-based academic calendar. Purchase College—SUNY's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #155. Its in-state tuition and fees are $9,163; out-of-state tuition and fees are $19,073.","Public, Coed",1967,None,Semester,Suburban,$77.9 million +,
50,Beloit College,#80,"Beloit College is a private institution that was founded in 1846. It has a total undergraduate enrollment of 1,143, its setting is city, and the campus size is 47 acres. It utilizes a semester-based academic calendar. Beloit College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #80. Its tuition and fees are $53,348.","Private, Coed",1846,None,Semester,City,$136.7 million +,
51,Illinois Wesleyan University,#80,"Illinois Wesleyan University is a private institution that was founded in 1850. It has a total undergraduate enrollment of 1,629, its setting is suburban, and the campus size is 82 acres. It utilizes a 4-4-1-based academic calendar. Illinois Wesleyan University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #80. Its tuition and fees are $51,336.","Private, Coed",1850,None,4-4-1,Suburban,$213.9 million +,
52,St. Mary's College of Maryland,#80,"St. Mary's College of Maryland is a public institution that was founded in 1840. It has a total undergraduate enrollment of 1,491, its setting is rural, and the campus size is 361 acres. It utilizes a semester-based academic calendar. St. Mary's College of Maryland's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #80. Its in-state tuition and fees are $15,124; out-of-state tuition and fees are $31,200.","Public, Coed",1840,None,Semester,Rural,$37.1 million +,
53,Earlham College,#84,"Earlham College is a private institution that was founded in 1847. It has a total undergraduate enrollment of 957, its setting is city, and the campus size is 200 acres. It utilizes a semester-based academic calendar. Earlham College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #84. Its tuition and fees are $48,091.","Private, Coed",1847,Friends,Semester,City,$418.8 million +,
54,Gustavus Adolphus College,#84,"Gustavus Adolphus College is a private institution that was founded in 1862. It has a total undergraduate enrollment of 2,235, its setting is rural, and the campus size is 340 acres. It utilizes a 4-1-4-based academic calendar. Gustavus Adolphus College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #84. Its tuition and fees are $48,460.","Private, Coed",1862,Evangelical Lutheran Church,4-1-4,Rural,$194.4 million +,
55,Juniata College,#84,"Juniata College is a private institution that was founded in 1876. It has a total undergraduate enrollment of 1,389, its setting is rural, and the campus size is 800 acres. It utilizes a semester-based academic calendar. Juniata College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #84. Its tuition and fees are $49,175.","Private, Coed",1876,None,Semester,Rural,$117.3 million,
56,Lake Forest College,#84,"Lake Forest College is a private institution that was founded in 1857. It has a total undergraduate enrollment of 1,538, its setting is suburban, and the campus size is 107 acres. It utilizes a semester-based academic calendar. Lake Forest College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #84. Its tuition and fees are $49,822.","Private, Coed",1857,None,Semester,Suburban,$87.5 million,
57,New College of Florida,#84,"New College of Florida is a public institution that was founded in 1960. It has a total undergraduate enrollment of 702, its setting is suburban, and the campus size is 110 acres. It utilizes a 4-1-4-based academic calendar. New College of Florida's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #84. Its in-state tuition and fees are $6,916; out-of-state tuition and fees are $29,944.","Public, Coed",1960,None,4-1-4,Suburban,$46.4 million +,
58,Transylvania University,#84,"Transylvania University is a private institution that was founded in 1780. It has a total undergraduate enrollment of 949, its setting is urban, and the campus size is 46 acres. It utilizes a 4-4-1-based academic calendar. Transylvania University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #84. Its tuition and fees are $41,610.","Private, Coed",1780, Christian Church (Disciples of Christ),4-4-1,Urban,$191.2 million +,
59,University of Puget Sound,#84,"University of Puget Sound is a private institution that was founded in 1888. It has a total undergraduate enrollment of 2,299, its setting is urban, and the campus size is 97 acres. It utilizes a semester-based academic calendar. University of Puget Sound's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #84. Its tuition and fees are $53,800.","Private, Coed",1888,None,Semester,Urban,$380.5 million +,
60,Albright College,#171-#221,"Albright College is a private institution that was founded in 1856. It has a Suburban setting, and the campus size is 118 acres. It utilizes a 4-1-4-based academic calendar. Albright College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $25,642.","Private, Coed",1856,United Methodist,4-1-4,Suburban,N/A,
61,Allen University,#171-#221,"Allen University is a private institution that was founded in 1870.  It utilizes a semester-based academic calendar. Allen University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $13,340.","Private, Coed",1870,None,Semester,City,N/A,
62,Aquinas College,#171-#221,"Aquinas College is a private institution that was founded in 1886. It has a total undergraduate enrollment of 1,456, its setting is city, and the campus size is 117 acres. It utilizes a semester-based academic calendar. Aquinas College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $35,086.","Private, Coed",1886,Roman Catholic,Semester,City,$43.0 million +,
63,Ave Maria University,#171-#221,"Ave Maria University is a private institution that was founded in 2003. It has a total undergraduate enrollment of 1,129, its setting is suburban, and the campus size is 113 acres. It utilizes a semester-based academic calendar. Ave Maria University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $23,188.","Private, Coed",2003,Roman Catholic,Semester,Suburban,$4.7 million,
64,Bennett College,#171-#221,"Bennett College is a private institution that was founded in 1873. It has a Urban setting, and the campus size is 60 acres. It utilizes a semester-based academic calendar. Bennett College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $18,513.","Private, Women's college",1873,United Methodist,Semester,Urban,N/A,
65,Bethany College (WV),#171-#221,"Bethany College (WV) is a private institution that was founded in 1840. It has a total undergraduate enrollment of 516, and the setting is Rural. It utilizes a semester-based academic calendar. Bethany College (WV)'s ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $30,700.","Private, Coed",1840, Christian Church (Disciples of Christ),Semester,Rural,$44.4 million,
66,Bethany Lutheran College,#171-#221,"Bethany Lutheran College is a private institution that was founded in 1927. It has a total undergraduate enrollment of 743, its setting is city, and the campus size is 50 acres. It utilizes a semester-based academic calendar. Bethany Lutheran College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $28,380.","Private, Coed",1927,Other,Semester,City,$44.1 million +,
67,Bethune-Cookman University,#171-#221,"Bethune-Cookman University is a private institution that was founded in 1904. It has a total undergraduate enrollment of 2,779, its setting is urban, and the campus size is 82 acres. It utilizes a semester-based academic calendar. Bethune-Cookman University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $14,814.","Private, Coed",1904,United Methodist,Semester,Urban,$28.9 million,
68,Blackburn College,#171-#221,"Blackburn College is a private institution that was founded in 1837. It has a total undergraduate enrollment of 486, its setting is rural, and the campus size is 80 acres. It utilizes a semester-based academic calendar. Blackburn College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $24,950.","Private, Coed",1837,Presbyterian Church (USA),Semester,Rural,$26.6 million +,
69,Bloomfield College,#171-#221,"Bloomfield College is a private institution that was founded in 1868. It has a Suburban setting, and the campus size is 12 acres. It utilizes a semester-based academic calendar. Bloomfield College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $30,310.","Private, Coed",1868,Presbyterian Church (USA),Semester,Suburban,N/A,
70,Soka University of America,#28,"Soka University of America is a private institution that was founded in 1987. It has a total undergraduate enrollment of 406, its setting is suburban, and the campus size is 103 acres. It utilizes a semester-based academic calendar. Soka University of America's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #28. Its tuition and fees are $33,962.","Private, Coed",1987,None,Semester,Suburban,$1.3 billion,
71,United States Air Force Academy,#28,"United States Air Force Academy is a public institution that was founded in 1954. It has a total undergraduate enrollment of 4,304, its setting is suburban, and the campus size is 18,500 acres. It utilizes a semester-based academic calendar. United States Air Force Academy's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #28. Its in-state tuition and fees are N; out-of-state tuition and fees are N.","Public, Coed",1954,None,Semester,Suburban,N/A,
72,Berea College,#33,"Berea College is a private institution that was founded in 1855. It has a total undergraduate enrollment of 1,688, its setting is rural, and the campus size is 140 acres. It utilizes a semester-based academic calendar. Berea College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #33. Its tuition and fees are $692.","Private, Coed",1855,None,Semester,Rural,$1.2 billion +,
73,Bucknell University,#34,"Bucknell University is a private institution that was founded in 1846. It has a total undergraduate enrollment of 3,627, its setting is rural, and the campus size is 449 acres. It utilizes a semester-based academic calendar. Bucknell University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #34. Its tuition and fees are $58,202.","Private, Coed",1846,None,Semester,Rural,$866.8 million +,
74,Mount Holyoke College,#34,"Mount Holyoke College is a private institution that was founded in 1837. It has a total undergraduate enrollment of 2,190, its setting is suburban, and the campus size is 800 acres. It utilizes a semester-based academic calendar. Mount Holyoke College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #34. Its tuition and fees are $54,618.","Private, Women's college",1837,None,Semester,Suburban,$794.2 million +,
75,College of the Holy Cross,#36,"College of the Holy Cross is a private institution that was founded in 1843. It has a total undergraduate enrollment of 3,174, its setting is suburban, and the campus size is 174 acres. It utilizes a semester-based academic calendar. College of the Holy Cross's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #36. Its tuition and fees are $56,520.","Private, Coed",1843,Roman Catholic,Semester,Suburban,$785.9 million,
76,Oberlin College,#36,"Oberlin College is a private institution that was founded in 1833. It has a total undergraduate enrollment of 2,846, its setting is suburban, and the campus size is 440 acres. It utilizes a 4-1-4-based academic calendar. Oberlin College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #36. Its tuition and fees are $58,504.","Private, Coed",1833,None,4-1-4,Suburban,$984.7 million,
